Brasserie,Commune,Province,Principales bières,coordinates
Brussels Beer Project,Bruxelles,Bruxelles,"Babylone, Grosse Bertha, Dark Sister","(50.8272547, 4.3633948)"
BrewTous',Bütgenbach,Liège,"Brown Sugar, Sweet Virginia, Jumpin' Jack IPA","(50.4267259, 6.2053573)"
Brasserie C (Microbrasserie de la Principauté),Liège,Liège,Curtius,"(50.647516350000004, 5.577521497279344)"
Ça Brasse Pour Moi,Boussu,Hainaut,"Rayon de Soleil, Été indien","(50.4236262, 3.802843458898915)"
Brasserie de Cambron,Brugelette,Hainaut,Abbaye de Cambron,"(50.5856515, 3.8850436110252264)"
Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,"(50.841630550000005, 4.335866379093762)"
Brasserie Caracole,Dinant,Namur,"Troublette, Caracole","(50.2030269, 4.8921894)"
Brasserie des Carrières,Belœil,Hainaut,Diôle,"(50.5208549, 3.6468087298900307)"
Brasserie Caulier,Péruwelz,Hainaut,"Bon Secours, Paix Dieu","(50.50233095, 3.5877339929611374)"
Brasserie de Cazeau,Tournai,Hainaut,"Tournay, Saison Cazeau","(50.64468995, 3.279384497906812)"
Brasserie du Clocher,Namur,Namur,Philomène florale,"(50.4181858, 4.79177191374054)"
Brasserie du la Clochette,Étalle,Luxembourg,La Clochette,"(49.8474185, 4.4434601)"
Brasserie Cnudde,Audenarde,Flandre-Orientale,Cnudde,"(50.8433705, 3.6041443)"
Brasserie Contreras,Gavere,Flandre-Orientale,"Contrapils, Valeir","(50.929299900000004, 3.6863506459883193)"
Brasserie Cornelissen,Brée,Limbourg,"Ops-Ale, Pax Pils, Herkenrode, Sint-Gummarus","(48.1504032, -0.5188416)"
Brasserie Cosse,Grâce-Hollogne,Liège,Belle Ardente,"(50.53662935, 4.967770923520858)"
Brasserie de la Croix,Beyne-Heusay,Liège,Sainte Nitouche,"(48.7027708, 6.1750331)"
Brasserie Cubus,Incourt,Brabant wallon,Cubus,"(50.39081, 2.15181)"
Brasserie Danny,Erpe-Mere,Flandre-Orientale,"Domus, Kwibus","(50.91514315, 3.939529208290114)"
Brasserie De Bie,Dentergem,Flandre-Occidentale,"Bie, De Bie, Hellekapelle","(38.9028603, -77.0274147)"
Brasserie De Block,Merchtem,Brabant flamand,"Dendermonde Tripel, Kastaar, Satan","(50.9593636, 4.2335677)"
Brasserie De Brabandere (ex Brasserie Bavik),Harelbeke,Flandre-Occidentale,"Bavik, Petrus, Wittekerke","(50.857512, 3.3113699)"
Gueuzerie De Cam,Gooik,Brabant flamand,De Cam,"(50.795282, 4.1174097)"
Brasserie Deca,Vleteren,Flandre-Occidentale,"Antiek, Vleteren","(47.6865361, 6.500773)"
Brasserie De Dochter van de Korenaar,Baerle-Duc,Anvers,"Noblesse, Finesse, Bravoure, Courage","(51.4383589, 4.9316995)"
Brasserie De Dolle Brouwers,Dixmude,Flandre-Occidentale,"Oerbier, Arabier","(51.0333408, 2.8647185)"
KasteelBrasserie De Dool,Houthalen-Helchteren,Limbourg,Ter Dolen,"(51.0467933, 5.3780416)"
Brasserie De Glazen Toren,Erpe-Mere,Flandre-Orientale,"Saison d'Erpe-Mere, Canaster, Ondineke","(50.91514315, 3.939529208290114)"
Brasserie De Graal,Brakel,Flandre-Orientale,De Graal,"(51.7168889, 9.1841762)"
Brasseurs de la Grand Place,Bruxelles,Bruxelles,,"(50.4541481, 3.952416)"
Brasserie De Halve Maan (Bruges),Bruges,Flandre-Occidentale,"Brugse Zot, Straffe Hendrik","(52.1220707, 4.7927033)"
Brasserie De Hoorn (fait partie de Palm Belgian Craft Brewers),Londerzeel,Brabant flamand,"Cornet, Arthur's Legacy","(52.6421622, 5.0591962)"
Brasserie De Koninck (fait partie de Duvel Moortgat),Anvers,Anvers,"De Koninck, Triple d'Anvers","(51.2211097, 4.3997081)"
Brasserie De Kroon,Huldenberg,Brabant flamand,"Super Kroon, Delvaux, Job","(50.8153506, 5.8920591)"
Brasserie De Landtsheer,Termonde,Flandre-Orientale,"Malheur, Novice","(51.0312293, 4.098112)"
Brasserie De Leite,Oostkamp,Flandre-Occidentale,"Femme Fatale, Bon Homme","(51.12144055, 3.2342003757779523)"
Brasserie Demanez,Sainte-Ode,Luxembourg,B.R.,"(50.016676149999995, 5.559514064137734)"
Brasserie Den Herberg,Hal,Brabant flamand,Den Herberg,"(53.7435722, -0.3394758)"
Brasserie Den Hopperd,Hulshout,Anvers,Kameleon,"(51.0753923, 4.7885461)"
Brasserie Den Houten Molen,Affligem,Brabant flamand,Rangsken,"(50.9035063, 4.1174675)"
Brasserie Den Toetëlèr,Hoeselt,Limbourg,Toetëlèr,"(50.8500788, 5.4865309)"
Brasserie Den Triest,Kapelle-op-den-Bos,Brabant flamand,Triest,"(51.0131904, 4.3599725)"
Brasserie Den Tseut,Assenede,Flandre-Orientale,"Den Tseut, Bras, Belle Cies","(51.2275942, 3.7532864)"
Brasserie De Plukker,Poperinge,Flandre-Occidentale,Keikoppenbier,"(50.8556646, 2.7264961)"
De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,"(51.115254300000004, 3.8160967304356808)"
Brasserie De Ranke,Mouscron,Hainaut,"Guldenberg, Saison de Dottignies, Cuvée De Ranke","(50.7436672, 3.2142729)"
Brasserie De Ryck,Herzele,Flandre-Orientale,Arend,"(50.8860005, 2.5319929)"
Brasserie De Schuur,Lubbeek,Brabant flamand,"Meneer, Nikolaas","(51.6953573, 4.8745039)"
Brasserie Deseveaux,Boussu,Hainaut,"Avena, Sarazen","(50.4236262, 3.802843458898915)"
Brasserie De Troch,Ternat,Brabant flamand,Chapeau,"(47.9058525, 5.1266052)"
Brasserie De Vlier,Holsbeek,Brabant flamand,Kessel,"(50.9215896, 4.7570606)"
Brasserie Dijkwaert,Herentals,Anvers,Thals,"(51.1765426, 4.8362595)"
Brasserie Dilewyns,Termonde,Flandre-Orientale,Vicaris,"(51.0312293, 4.098112)"
Brasserie Domus,Louvain,Brabant flamand,"Con Domus, Nostra Domus","(50.879202, 4.7011675)"
Brasserie Donum Ignis,Saint-Nicolas,Flandre-Orientale,"Noorderbierke, Zuiderbierke","(51.1520773, 4.0056915)"
Brasserie Drie Fonteinen,Beersel,Brabant flamand,"Drie Fonteinen,  Doesjel, Armand'4, Beersel","(50.747841199999996, 4.30652710740871)"
Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls","(50.5759698, 3.5559290503097984)"
Brasserie Dupont,Leuze-en-Hainaut,Hainaut,"Moinette, Saison Dupont","(50.8641522, 5.8326197)"
Brasserie Duvel (fait partie de Duvel Moortgat),Puurs,Anvers,"Duvel, Maredsous, Vedett","(51.0772325, 4.2828146)"
Brasserie de l'orne,Mont-Saint-Guibertt,Brabant Wallon,"Ornoise, 16Orne, Ornoise Triple, Ornoise RôZette","(50.6483067, 4.6176312)"
Brasserie des Eaux Vives,Doische,Namur,Mam'zelle Bibiche,"(47.3890041, 0.6928491)"
Brasserie d'Écaussinnes,Écaussinnes,Hainaut,"1830, Comédie, Cookie Beer","(50.5585572, 4.133186556057117)"
Brasserie Elfique,Aywaille,Liège,Elfique,"(50.4758998, 5.6763249)"
Brasserie Engilsen,Tessenderlo,Limbourg,Dief !,"(51.0676205, 5.0878638)"
Brasserie En Stoemelings,Bruxelles,Bruxelles,Curieuse Neus,"(50.8465573, 4.351697)"
Brasserie de l'Ermitage,Bruxelles,Bruxelles,Lanterne,"(48.526515, 2.6538004)"
Brasserie Eutropius,Courtrai,Flandre-Occidentale,Oscar,"(50.8276429, 3.2659884)"
Experiment'Ale,Esneux,Liège,"Dynamite , Orbit'Ale","(50.5103636, 5.5590287)"
Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,"(50.083704350000005, 4.5232510455510795)"
Brasserie Fantôme,Érezée,Luxembourg,Fantôme,"(50.2930558, 5.5597642)"
Brasserie La Ferme au Chêne,Durbuy,Luxembourg,Marckloff,"(50.3524116, 5.456248)"
Brasserie du Flo,Hannut,Liège,"Flo, Cuvée Saint-Antoine","(50.664236599999995, 5.123867960851182)"
Brasserie Forêt,Comblain-au-Pont,Liège,Forêt,"(48.41519925, -4.5025162270013475)"
Brasserie Fort Lapin,Bruges,Flandre-Occidentale,Fort Lapin,"(51.2085526, 3.226772)"
Brasserie Le Fou du Roi,Thuin,Hainaut,Galipette,"(50.32189905, 4.296083730719883)"
Brasserie La Frasnoise,Frasnes-lez-Anvaing,Hainaut,Frasnoise,"(50.68025195, 3.6229617518594277)"
Microbrasserie de Gallaix,Leuze-en-Hainaut,Hainaut,Rosam,"(50.596846400000004, 3.627730007761385)"
Brasserie 't Gaverhopke,Harelbeke,Flandre-Occidentale,Gaverhopke,"(50.857512, 3.3113699)"
Brasserie Gengoulf,Florenville,Luxembourg,Gengoulf,"(49.62087285, 5.341955999757234)"
Brasserie Gigi,Meix-devant-Virton,Luxembourg,Spéciale Gigi,"(49.619889, 5.4250797)"
Brasserie Girardin,Dilbeek,Brabant flamand,Girardin,"(45.7717022, 5.0107847)"
Brasserie Gosselin,Quévy,Hainaut,"Coq, Vieille","(50.36786065, 3.9669089045157673)"
Brasserie Le Goupil,Rixensart,Brabant wallon,Renart,"(50.7122566, 4.5216218)"
Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup","(50.7377318, 5.9611134)"
